category,description_cost,description_id,heatgenerated,instability,description_details,accuracymodifier,additionalimpactvfx,additionalimpactvfxscalex,additionalimpactvfxscaley,additionalimpactvfxscalez,aibattlevalue,alwaysindirectvisuals,ammocategoryid,ammunitiontypeid,amsdamage,amshitchance,aoecapable,aoedamage,aoeheatdamage,aoeinstability,aoerange,aparmorshardsmod,apcriticalchancemultiplier,apdamage,apmaxarmorthickness,armordamagemodifier,canbeexhaustedat,canthitunaffecedbypathing,chassistagsaccuracymodifiers_unit_powerarmor,chassistagsaccuracymodifiers_unit_vtol,clearminefieldradius,clusteringmodifier,colorchangerule,colorspeedchange,colorstable,criticalchancemultiplier,criticaldamagemodifier,damagemultiplier,damagepershot,damagevariance,description_name,description_purchasable,description_rarity,description_uiname,directfiremodifier,distantvariance,distantvariancereversed,evasivepipsignored,firedurationwithoutforest,fireonsuccesshit,fireterraincellradius,fireterrainchance,fireterrainstrength,flatjammingchance,hasshells,heatdamagepershot,heatgeneratedmodifier,hideifonlyvariant,hitgenerator,indirectfirecapable,isdamagemodifier,isdamagevariation,isstabilityvariation,longrange,maxmissradius,maxrange,maxshellsdistance,middlerange,minefield_aoedamage,minefield_aoeheat,minefield_aoeinstability,minefield_aoerange,minefield_canthitunaffecedbypathing,minefield_chance,minefield_count,minefield_damage,minefield_firedurationwithoutforest,minefield_fireonsuccesshit,minefield_fireterraincellradius,minefield_fireterrainchance,minefield_fireterrainstrength,minefield_heat,minefield_installcellrange,minefield_sfx,minefield_statuseffects,minefield_vfxmindistance,minefield_vfxprefab,minmissradius,minrange,minshellsdistance,missilehealth,projectilescale_x,projectilescale_y,projectilescale_z,projectilespeedmultiplier,projectilespershot,refiremodifier,shellsradius,shortrange,shotswhenfired,spreadrange,statuseffects,streak,tempdesignmaskcellradius,tempdesignmaskonimpact,tempdesignmaskonimpactturns,type,unguided,unseparateddamagemult,weaponeffectid
AC2,0,Ammunition_AC2_Caseless,0,,Small caliber ammunition designed for long range fire in an AC/2.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#FAED39"",""I"":5}]",,1,0.9,,,AC/2 Ammo,0,0,CL,,,,,,,,,,0.1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Normal,,,
AC2,0,Ammunition_AC2_AP,0,,Small caliber ammunition designed for long range fire in an AC/2.,1,,,,,,,,,,,,,,,,,0.5,5,,1,,,,,,,t0,5,"[{""C"":""#EE82EE"",""I"":5}]",0.5,1,0.5,,,AC/2 Ammo,0,0,AP,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC2,0,Ammunition_AC2,0,,Small caliber ammunition designed for long range fire in an AC/2.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/2 Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC20,0,Ammunition_AC20_Precision,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#0000CD"",""I"":5}]",,1,,,,AC/20 Ammo,0,0,Precision,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC20,0,Ammunition_AC20_Incendiary,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",,,,,,90,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#DC143C"",""I"":5}]",,1,0.6,,,AC/20 Ammo,0,0,Incendiary,,,,,,,,0.4,,,,40,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.95"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""20"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,Normal,,,
AC20,0,Ammunition_AC20_Flak,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",2,,,,,,,,,,,,,,,,,,,,1,,,,-6,,,t0,5,"[{""C"":""#F3F34A"",""I"":5}]",,1,,,,AC/20 Ammo,0,0,Flak,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC20,0,Ammunition_AC20_Caseless,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#FAED39"",""I"":5}]",,1,0.9,,,AC/20 Ammo,0,0,CL,,,,,,,,,,0.13,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Normal,,,
AC20,0,Ammunition_AC20_AP,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",1,,,,,,,,,,,,,,,,,0.5,15,,1,,,,,,,t0,5,"[{""C"":""#EE82EE"",""I"":5}]",0.5,1,0.5,,,AC/20 Ammo,0,0,AP,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC20,0,Ammunition_AC20,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/20 Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC20Internal,0,Ammunition_AC20_Internal,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/20 Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC2Internal,0,Ammunition_AC2_Internal,0,,Small caliber ammunition designed for long range fire in an AC/2.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/2 Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC5,0,Ammunition_AC5_Precision,0,,"Moderate caliber rounds, suitable for long range fire in an AC/5.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#0000CD"",""I"":5}]",,1,,,,AC/5 Ammo,0,0,Precision,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC5,0,Ammunition_AC5_Incendiary,0,,"Moderate caliber rounds, suitable for long range fire in an AC/5.",,,,,,90,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#DC143C"",""I"":5}]",,1,0.6,,,AC/5 Ammo,0,0,Incendiary,,,,,,,,0.18,,,,18,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.96"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""9"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,Normal,,,
AC5,0,Ammunition_AC5_Flak,0,,"Moderate caliber rounds, suitable for long range fire in an AC/5.",2,,,,,,,,,,,,,,,,,,,,1,,,,-6,,,t0,5,"[{""C"":""#F3F34A"",""I"":5}]",,1,,,,AC/5 Ammo,0,0,Flak,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC5,0,Ammunition_AC5_Caseless,0,,"Moderate caliber rounds, suitable for long range fire in an AC/5.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#FAED39"",""I"":5}]",,1,0.9,,,AC/5 Ammo,0,0,CL,,,,,,,,,,0.11,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Normal,,,
AC5,0,Ammunition_AC5_AP,0,,"Moderate caliber rounds, suitable for long range fire in an AC/5.",1,,,,,,,,,,,,,,,,,0.5,7,,1,,,,,,,t0,5,"[{""C"":""#EE82EE"",""I"":5}]",0.5,1,0.5,,,AC/5 Ammo,0,0,AP,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC5,0,Ammunition_AC5,0,,"Moderate caliber rounds, suitable for long range fire in an AC/5.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/5 Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC5Internal,0,Ammunition_AC5_Internal,0,,"Moderate caliber rounds, suitable for long range fire in an AC/5.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/5 Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AMS,0,Ammunition_AMS,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AMS Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
ATM,0,Ammunition_ATM_HE,0,1,"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.",,,,,,90,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#585169"",""I"":5}]",,1,,4,,HE ATM Ammo,0,0,HE,,,,,,,,0.01,,,,,1,,,,1,,,-180,,-240,,-120,,,,,,,,,,,,,,,,,,,,,-120,,2,,,,,,,,-60,,,,,,,,Normal,,,WeaponEffect-Weapon_SRM6
ATM,0,Ammunition_ATM_ER,0,-1,"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.",,,,,,70,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#63A655"",""I"":5}]",,1,,-4,,Extreme Range ATM Ammo,0,0,ER,,,,,,,,-0.01,,,,,1,,,,1,,,360,,480,,240,,,,,,,,,,,,,,,,,,,,,,,2,,,,1.25,,,,120,,,,,,,,Normal,,,
ATM,0,Ammunition_ATM,0,,"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,None,,,,1,,,,ATM Ammo,0,0,STD,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,Normal,,,
ATMERFusillade,0,Ammunition_fusillade_ATM_ER,0,-1,"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.",,,,,,70,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#63A655"",""I"":5}]",,1,,-4,,Extreme Range ATM Ammo,0,0,ER,,,,,,,,-0.01,,,,,1,,,,1,,,360,,420,,240,,,,,,,,,,,,,,,,,,,,,,,3,,,,1.25,,,,120,,,,,,,,Normal,,,
ATMFusillade,0,Ammunition_fusillade_ATM,0,,"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,ATM Ammo,0,0,STD,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,Normal,,,
ATMHEFusillade,0,Ammunition_fusillade_ATM_HE,0,1,"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.",,,,,,90,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#585169"",""I"":5}]",,1,,4,,HE ATM Ammo,0,0,HE,,,,,,,,0.01,,,,,1,,,,1,,,-180,,-180,,-120,,,,,,,,,,,,,,,,,,,,,-120,,3,,,,,,,,-60,,,,,,,,Normal,,,WeaponEffect-Weapon_SRM6
AntiMissile,0,Ammunition_AntiMissile_Caseless,4,,Large bore belted ammunition for 'Mech-mounted machine guns.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AMS Ammo,0,0,CL,,,,,,,,,,0.25,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,Normal,,,
AntiMissile,0,Ammunition_AntiMissile,0,,Large bore belted ammunition for 'Mech-mounted machine guns.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AMS Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AntiMissile,0,Ammunition_AMS_HE,0,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,2,,AMS Ammo,0,0,HE,,,,,,,,,,0.2,,,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,Normal,,,
AntiMissileInternal,0,Ammunition_AMSInternal,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AMS Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
ArrowIV,0,Ammunition_ArrowIV_Nuke,0,,Half kiloton nuclear device,,WFX_Nuke,10,10,10,,,,,,-0.15,1,1250,500,650,360,,,,,1,1,,,,60,,,,,,1,,2000,,Davy Crocket,0,0,Nuke,,,,,2,1,30,0.8,15,,,,1,,,,1,,,,20,,,,,,,,,,,,,,,,,,,,,,,20,,,30,,,,,,,,,,,,,60,DesignMaskFallout,5,Normal,,,
ArrowIV,0,Ammunition_ArrowIV_Inferno,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",,WFX_Nuke,3,3,3,90,,,,,,1,35,35,15,75,,,,,1,,,,,,,,,,,1,0.2,,,AC/20 Ammo,0,0,Inferno,,,,,3,1,7,0.75,15,,,30,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.95"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,Normal,,,
ArrowIV,0,Ammunition_ArrowIV_Guided,0,,"Massive rounds, designed for devastating impact, to be used in an AC/20.",-1,WFX_ExplosiveSmokeM,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/20 Ammo,0,0,Guided,-1,,,1,,,6,0.02,15,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,Normal,,,
