category,description_cost,description_id,heatgenerated,instability,description_details,armordamagemodifier,criticaldamagemodifier,description_name,description_purchasable,description_rarity,description_uiname,heatgeneratedmodifier,hideifonlyvariant,isdamagemodifier,type,aibattlevalue,aoecapable,aoedamage,aoeheatdamage,aoerange,additionalimpactvfx,additionalimpactvfxscalex,additionalimpactvfxscaley,additionalimpactvfxscalez,colorchangerule,colorspeedchange,colorstable,damagepershot,fireterrainchance,heatdamagepershot,statuseffects,apcriticalchancemultiplier,apdamage,accuracymodifier,criticalchancemultiplier,damagemultiplier,flatjammingchance,refiremodifier,chassistagsaccuracymodifiers_unit_vtol,evasivepipsignored,amsdamage,shotswhenfired,aoeinstability,clearminefieldradius,firedurationwithoutforest,fireonsuccesshit,fireterraincellradius,fireterrainstrength,missilehealth,minefield_aoedamage,minefield_aoeheat,minefield_aoeinstability,minefield_aoerange,minefield_chance,minefield_count,minefield_damage,minefield_firedurationwithoutforest,minefield_fireonsuccesshit,minefield_fireterraincellradius,minefield_fireterrainchance,minefield_fireterrainstrength,minefield_heat,minefield_installcellrange,minefield_sfx,minefield_vfxmindistance,minefield_vfxprefab,minefield_statuseffects,directfiremodifier,amshitchance,canbeexhaustedat,maxmissradius,minmissradius,tempdesignmaskcellradius,tempdesignmaskonimpact,tempdesignmaskonimpactturns,longrange,maxrange,middlerange,projectilespeedmultiplier,shortrange,minrange,weaponeffectid,alwaysindirectvisuals,chassistagsaccuracymodifiers_unit_powerarmor,hitgenerator,canthitunaffecedbypathing,clusteringmodifier,distantvariance,streak,spreadrange,minefield_canthitunaffecedbypathing,unguided,hasshells,maxshellsdistance,minshellsdistance,projectilespershot,unseparateddamagemult,indirectfirecapable,shellsradius,aparmorshardsmod,apmaxarmorthickness,damagevariance,projectilescale_x,projectilescale_y,projectilescale_z,isdamagevariation,isstabilityvariation,distantvariancereversed,ammocategoryid,ammunitiontypeid
"""AC2""",0,"""Ammunition_AC2_Flak""",0,,"""Small caliber ammunition designed for long range fire in an AC/2.""",1,1,"""AC/2 Ammo""",false,0,"""Flak""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#F3F34A"",""I"":5}]",,,,,,,2,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC2""",0,"""Ammunition_AC2_Incendiary""",0,,"""Small caliber ammunition designed for long range fire in an AC/2.""",1,1,"""AC/2 Ammo""",false,0,"""Incendiary""",1,,1,"""Normal""",90,,,,,,,,,"""t0""",5,"[{""C"":""#DC143C"",""I"":5}]",,0.1,10,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.96"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""5"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC2""",0,"""Ammunition_AC2_Precision""",0,,"""Small caliber ammunition designed for long range fire in an AC/2.""",1,1,"""AC/2 Ammo""",false,0,"""Precision""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#0000CD"",""I"":5}]",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC20""",0,"""Ammunition_AC20""",0,,"""Massive rounds, designed for devastating impact, to be used in an AC/20.""",1,1,"""AC/20 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC20""",0,"""Ammunition_AC20_AP""",0,,"""Massive rounds, designed for devastating impact, to be used in an AC/20.""",1,1,"""AC/20 Ammo""",false,0,"""AP""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#EE82EE"",""I"":5}]",,,,,0.5,15,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC20""",0,"""Ammunition_AC20_Caseless""",0,,"""Massive rounds, designed for devastating impact, to be used in an AC/20.""",1,1,"""AC/20 Ammo""",false,0,"""CL""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#FAED39"",""I"":5}]",,,,,,,,,0.9,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC20""",0,"""Ammunition_AC20_Flak""",0,,"""Massive rounds, designed for devastating impact, to be used in an AC/20.""",1,1,"""AC/20 Ammo""",false,0,"""Flak""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#F3F34A"",""I"":5}]",,,,,,,2,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC20""",0,"""Ammunition_AC20_Incendiary""",0,,"""Massive rounds, designed for devastating impact, to be used in an AC/20.""",1,1,"""AC/20 Ammo""",false,0,"""Incendiary""",1,,1,"""Normal""",90,,,,,,,,,"""t0""",5,"[{""C"":""#DC143C"",""I"":5}]",,0.4,40,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.95"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""20"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC20""",0,"""Ammunition_AC20_Precision""",0,,"""Massive rounds, designed for devastating impact, to be used in an AC/20.""",1,1,"""AC/20 Ammo""",false,0,"""Precision""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#0000CD"",""I"":5}]",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC20Internal""",0,"""Ammunition_AC20_Internal""",0,,"""Massive rounds, designed for devastating impact, to be used in an AC/20.""",1,1,"""AC/20 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC2Internal""",0,"""Ammunition_AC2_Internal""",0,,"""Small caliber ammunition designed for long range fire in an AC/2.""",1,1,"""AC/2 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC5""",0,"""Ammunition_AC5""",0,,"""Moderate caliber rounds, suitable for long range fire in an AC/5.""",1,1,"""AC/5 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC5""",0,"""Ammunition_AC5_AP""",0,,"""Moderate caliber rounds, suitable for long range fire in an AC/5.""",1,1,"""AC/5 Ammo""",false,0,"""AP""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#EE82EE"",""I"":5}]",,,,,0.5,7,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC5""",0,"""Ammunition_AC5_Caseless""",0,,"""Moderate caliber rounds, suitable for long range fire in an AC/5.""",1,1,"""AC/5 Ammo""",false,0,"""CL""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#FAED39"",""I"":5}]",,,,,,,,,0.9,0.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC5""",0,"""Ammunition_AC5_Flak""",0,,"""Moderate caliber rounds, suitable for long range fire in an AC/5.""",1,1,"""AC/5 Ammo""",false,0,"""Flak""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#F3F34A"",""I"":5}]",,,,,,,2,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC5""",0,"""Ammunition_AC5_Incendiary""",0,,"""Moderate caliber rounds, suitable for long range fire in an AC/5.""",1,1,"""AC/5 Ammo""",false,0,"""Incendiary""",1,,1,"""Normal""",90,,,,,,,,,"""t0""",5,"[{""C"":""#DC143C"",""I"":5}]",,0.18,18,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.96"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""9"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC5""",0,"""Ammunition_AC5_Precision""",0,,"""Moderate caliber rounds, suitable for long range fire in an AC/5.""",1,1,"""AC/5 Ammo""",false,0,"""Precision""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#0000CD"",""I"":5}]",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC5Internal""",0,"""Ammunition_AC5_Internal""",0,,"""Moderate caliber rounds, suitable for long range fire in an AC/5.""",1,1,"""AC/5 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AMS""",0,"""Ammunition_AMS""",0,,null,1,1,"""AMS Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ATM""",0,"""Ammunition_ATM""",0,,"""Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.""",1,1,"""ATM Ammo""",false,0,"""STD""",1,,1,"""Normal""",,,,,,,,,,"""None""",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ATM""",0,"""Ammunition_ATM_ER""",0,-1,"""Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.""",1,1,"""Extreme Range ATM Ammo""",false,0,"""ER""",1,,1,"""Normal""",70,,,,,,,,,"""t0""",5,"[{""C"":""#63A655"",""I"":5}]",-4,-0.01,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,360,480,240,1.25,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ATM""",0,"""Ammunition_ATM_HE""",0,1,"""Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.""",1,1,"""HE ATM Ammo""",false,0,"""HE""",1,,1,"""Normal""",90,,,,,,,,,"""t0""",5,"[{""C"":""#585169"",""I"":5}]",4,0.01,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,-180,-240,-120,,-60,-120,"""WeaponEffect-Weapon_SRM6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ATMERFusillade""",0,"""Ammunition_fusillade_ATM_ER""",0,-1,"""Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.""",1,1,"""Extreme Range ATM Ammo""",false,0,"""ER""",1,,1,"""Normal""",70,,,,,,,,,"""t0""",5,"[{""C"":""#63A655"",""I"":5}]",-4,-0.01,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,360,420,240,1.25,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ATMFusillade""",0,"""Ammunition_fusillade_ATM""",0,,"""Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.""",1,1,"""ATM Ammo""",false,0,"""STD""",1,,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ATMHEFusillade""",0,"""Ammunition_fusillade_ATM_HE""",0,1,"""Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.""",1,1,"""HE ATM Ammo""",false,0,"""HE""",1,,1,"""Normal""",90,,,,,,,,,"""t0""",5,"[{""C"":""#585169"",""I"":5}]",4,0.01,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-180,-180,-120,,-60,-120,"""WeaponEffect-Weapon_SRM6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AntiMissile""",0,"""Ammunition_AMS_HE""",0,,null,1,1,"""AMS Ammo""",false,0,"""HE""",1,false,1,"""Normal""",,,,,,,,,,,,,2,,,,,,,,,0.2,,,,1,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AntiMissile""",0,"""Ammunition_AntiMissile""",0,,"""Large bore belted ammunition for 'Mech-mounted machine guns.""",1,1,"""AMS Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AntiMissile""",0,"""Ammunition_AntiMissile_Caseless""",4,,"""Large bore belted ammunition for 'Mech-mounted machine guns.""",1,1,"""AMS Ammo""",false,0,"""CL""",1,,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,0.25,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AntiMissileInternal""",0,"""Ammunition_AMSInternal""",0,,null,1,1,"""AMS Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ArrowIV""",0,"""Ammunition_ArrowIV""",0,,"""Massive rounds, designed for devastating impact, to be used in an AC/20.""",1,1,"""AC/20 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,true,100,,75,"""WFX_ExplosiveSmokeM""",2,2,2,,,,,0.02,,,,,,,0.2,,,-50,,,,50,15,0,true,6,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
