ammocategory,battlevalue,category,componentsubtype,componenttype,damage,description_cost,description_id,heatdamage,heatgenerated,instability,inventorysize,prefabidentifier,rangesplit,tonnage,description_details,aoecapable,accuracymodifier,allowedlocations,attackrecoil,bonusvaluea,bonusvalueb,canthitunaffecedbypathing,componenttags_items,componenttags_tagsetsourcefile,criticalchancemultiplier,criticalcomponent,custom_category,custom_flags,damagevariance,description_icon,description_manufacturer,description_model,description_name,description_purchasable,description_rarity,description_uiname,disallowedlocations,evasivedamagemultiplier,evasivepipsignored,fireonsuccesshit,fireterrainchance,indirectfirecapable,maxrange,minrange,overheateddamagemultiplier,projectilespershot,refiremodifier,shotswhenfired,startingammocapacity,type,weaponeffectid,weaponsubtype,statuseffects,ammocategoryid,custom_bonusdescriptions,missilehealth,amsshootseveryattack,aparmorshardsmod,apcriticalchancemultiplier,apmaxarmorthickness,auras,custom_inventorysorter,isaams,isams,modes,notuseinmelee,improvedballistic,additionalimpactvfx,additionalimpactvfxscalex,additionalimpactvfxscaley,additionalimpactvfxscalez,colorchangerule,colorstable,custom_componentexplosion,projectilescale_x,projectilescale_y,projectilescale_z,weaponcategoryid,ballisticdamageperpallet,damagenotdivided,distantvariance,distantvariancereversed,firedelaymultiplier,isdamagevariation,isheatvariation,isstabilityvariation,volleydivisor,cooldown,custom_armorrepair,custom_color,custom_linked,custom_workordercosts,structuredamage,canexplode,additionaldata,custom_lootable,damageonjamming,amshitchance,aoeeffectsfalloff,projectilespeedmultiplier,amsimmune,aoedamage,aoeinstability,aoerange,directfiremodifier,aoeheatdamage,alwaysindirectvisuals,hitgenerator,streak,clearminefieldradius,fireterraincellradius,fireterrainstrength,chassistagsaccuracymodifiers_unit_vtol,unguided,deferredeffect_aoedamage,deferredeffect_aoeheatdamage,deferredeffect_aoeinstability,deferredeffect_aoerange,deferredeffect_firedurationwithoutforest,deferredeffect_fireterraincellradius,deferredeffect_fireterrainchance,deferredeffect_fireterrainstrength,deferredeffect_rangecolor,deferredeffect_sfx,deferredeffect_terrainvfx,deferredeffect_terrainvfxscale,deferredeffect_vfx,deferredeffect_vfxtime,deferredeffect_damageapplytime,deferredeffect_id,deferredeffect_rounds,deferredeffect_statuseffects,deferredeffect_statuseffectsrangefalloff,deferredeffect_sticky,deferredeffect_tempdesignmask,deferredeffect_tempdesignmaskcellradius,deferredeffect_text,deferredeffect_waitvfx,alternatedamagecalc,disableclustering,chassistagsaccuracymodifiers_unit_powerarmor,clusteringmodifier,missilevolleyintervalmultiplier,missilevolleysize,statuseffectsperhit,spreadrange,colorspeedchange,flatjammingchance,shotsperammo,apdamage,gunneryjammingbase,gunneryjammingmult,evasivepipsmods_damage,evasivepipsmods_generatedheat,evasivepipsmods_instablility,firedurationwithoutforest,armordamagemodifier,custom_activatablecomponent,custom_armactuator,isdamagemodifier,custom_handheld,custom_mechconfiguration,evasivepipsmods_apcriticalchancemultiplier,evasivepipsmods_accuracymodifier,evasivepipsmods_criticalchancemultiplier,evasivepipsmods_flatjammingchance,evasivepipsmods_refiremodifier,custom_criticaleffects,custom_vehiclecriticaleffects,destroyonjamming,iffdef
"""NotSet""",0,,"""Weapon""","""Weapon""",2,20000,"""Weapon_PowerArmor_Flamer""",6,0,0,1,"""Flamer""","[60,90,120]",0.25,"""A Battle Armor Flamethrower. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",0,"""""","""""",true,"[""component_type_stock"",""range_close"",""paweapon""]","""""",0.1,false,"[{""CategoryID"":""w/s/m/pa""}]",,0,"""uixSvgIcon_weapon_Energy""","""Skylight""","""Flamethrower""","""Flamer""",true,0,"""BA Flamer""","""All""",0,1,true,,false,180,0,1.4,1,0,1,0,"""Flamer""","""WeaponEffect-Weapon_Flamer""","""Flamer""","[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.97"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,"{""Bonuses"":[""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1"",""OHDamage: 40%"",""AlwaysStartsFire"",""DmgFallOff: 45%"",""AccuracyUnit: Battle Armor"",""AccuracyUnit2: +5"",""NoAA""]}",,,0.1,0.01,1,,"{""SortKey"":""02001""}",,,,,,,,,,,,,,,,"""BattleArmor""",,,0.45,false,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",2,20000,"""Weapon_PowerArmor_Flamer_CLAN""",6,0,0,1,"""Flamer""","[60,90,120]",0.2,"""A Battle Armor Flamethrower. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",0,"""""","""""",true,"[""component_type_stock"",""range_close"",""paweapon""]","""""",0.1,false,"[{""CategoryID"":""w/s/m/pa""}]",,0,"""uixSvgIcon_weapon_Energy""","""Skylight""","""Flamethrower""","""Flamer""",true,0,"""BA Flamer (C)""","""All""",0,1,true,,false,180,0,1.4,1,0,1,0,"""Flamer""","""WeaponEffect-Weapon_Flamer""","""Flamer""","[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.97"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,"{""Bonuses"":[""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1"",""OHDamage: 40%"",""AlwaysStartsFire"",""DmgFallOff: 45%"",""NoAA""]}",,,0.1,0.01,1,,"{""SortKey"":""02001""}",,,,,,,,,,,,,,,,"""BattleArmor""",,,0.45,false,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",10,375000,"""Weapon_PowerArmor_Harpoon""",0,0,15,1,"""Gauss""","[90,150,210]",0.3,"""A Battle Armor 'Harpoon'. For pirates that ain't be half as stupid as what else they jury rig, this allows the squad to topple and capture pretty much any mech. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,0,"""All""",4,"""Damage Falloff|""","""1 Recoil""",true,"[""component_type_stock"",""range_standard"",""paweapon""]","""""",2,false,"[{""CategoryID"":""w/s/m/ac""}]","{""flags"":[""not_broken"",""not_destroyed""]}",0,"""uixSvgIcon_weapon_Ballistic""","""Ahab""","""Harpoon Rifle""","""Harpoon Rifle""",true,10,"""BA Harpoon""","""All""",0,0,,,false,280,0,0,1,0,1,0,"""Gauss""","""WeaponEffect-Weapon_GaussRifle""","""Gauss""","[{""Description"":{""Details"":""Harpooned ye Landlubber! 15% reduced Unsteady threshhold."",""Icon"":""uixSvgIcon_shipUpgrade_power2"",""Id"":""Harpoon-Effect"",""Name"":""Reel 'Er In""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""0.9"",""operation"":""Float_Multiply"",""statName"":""UnsteadyThreshold"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null}]",,"{""Bonuses"":[""HAMMERFIST: 10%"",""WpnCrits: X2"",""IsGauss"",""NoAA""]}",,,0.75,0.45,190,,"{""SortKey"":""04003""}",,,,,true,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",1,1210000,"""Weapon_Laser_TAG_Barrage_PA""",0,0,0,1,"""Laser""","[150,300,450]",0.3,"""Target Acquisition Gear for Powered Infantry used to mark targets for close support Artillery""",false,0,"""All""",1,"""Target Painter""","""""",true,"[""component_type_stock"",""range_long"",""paweapon""]","""""",1,false,"[{""CategoryID"":""w/s/t/tag""},{""CategoryID"":""OffBoardTAGPA""},{""CategoryID"":""w/s/m/pa""}]","{""flags"":[""not_broken""]}",0,"""LightTAG""","""NAIS""","""Target Acquisition Gear""","""TAG""",false,15,"""BA TAG Barrage""","""All""",0,0,,,false,510,0,0,1,0,1,0,"""Laser""","""WeaponEffect-Weapon_TAG""","""SmallLaserER""",[],,"{""Bonuses"":[""AreaOfEffect: 50"",""AreaOfEffectDmg: 20"",""AreaOfEffectHeatDmg: 10"",""AlwaysStartsFireAnywhere"",""FireTerrainDuration: 2"",""FireTerrainStrength: 5"",""NoAA"",""WpnCooldown: 3"",""DelayedImpact: 2""]}",,,0.1,0.002,1.2,,"{""SortKey"":""04003""}",,,,true,,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,5,50,2,1,1,5,"{""C"":""#00FF00"",""I"":1.5}","""explosion_small""",,,"""WFX_ExplosiveSmokeS""",5,3,"""PAMORTARS""",1,[],true,true,,,"""Mortars Incoming""","""vfxPrfPrtl_artillerySmokeSignal_loop""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",1,210000,"""Weapon_Laser_TAG_PA""",0,0,0,1,"""Laser""","[150,300,450]",0.25,"""This TAG was designed to be carried by Powered Infantry""",false,-1,"""All""",1,"""Target Painter""","""""",,"[""component_type_stock"",""component_type_lostech"",""range_long"",""paweapon""]","""""",0,false,"[{""CategoryID"":""w/s/t/tag""},{""CategoryID"":""w/s/m/pa""}]",,0,"""TAG""","""NAIS""","""Target Acquisition Gear""","""TAG""",false,5,"""PA TAG""","""All""",0,1,,,false,510,0,0,1,0,1,0,"""Laser""","""WeaponEffect-Weapon_TAG""","""SmallLaserER""","[{""Description"":{""Details"":""This target was TAG'ed. +1 to hit."",""Icon"":""uixSvgIcon_artillery"",""Id"":""PainterEffect"",""Name"":""Target Acquired""},""durationData"":{""clearedWhenAttacked"":false,""duration"":7,""stackLimit"":1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.String"",""modValue"":""0.15_2_-1"",""operation"":""Set"",""statName"":""LV_TAG""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""TAG increases Visibility"",""Icon"":""uixSvgIcon_artillery"",""Id"":""PainterEffect2"",""Name"":""Detected""},""durationData"":{""duration"":7,""stackLimit"":1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""1.15"",""operation"":""Float_Multiply"",""statName"":""SpottingVisibilityMultiplier""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""Visual indicator of the TAG effect"",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""StatusEffect-TAG-IndicatorVFX"",""Name"":""TAG MARKED""},""durationData"":{""duration"":7,""stackLimit"":1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":true,""useActivationsOfTarget"":true},""effectType"":""VFXEffect"",""nature"":""Debuff"",""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""hideApplicationFloatie"":true,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":{""attachToImpactPoint"":true,""duration"":-1,""facesAttacker"":false,""isAttached"":true,""isOneShot"":false,""location"":-1,""vfxName"":""vfxPrfPrtl_TAGmarker_loop""}}]",,"{""Bonuses"":[""TAG: 7"",""PipsIgnored: 1"",""WpnAccuracy: +1"",""Painter: +1"",""PainterSensors: 15%"",""PainterVisibility: 15%"",""LosTech""]}",,,0.1,0.002,1.2,,"{""SortKey"":""04003""}",,,,true,,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",10,200000,"""Weapon_Elite_2_LaserDrill""",7,0,7,1,"""Laser""","[25,25,40]",0,"""A Laser Drill used to drill into a planets surface by superheating and bombarding the crust, was adapted to work as a 'Mech weapon, able to cut deep into a Chassis and tear it apart it apart.""",false,-1,"""CenterTorso""",0,"""Bonus vs Overheat|""","""+10 Melee (H) Dmg.""",true,"[""component_type_stock"",""range_close"",""MeleeWeapon.{location}""]","""""",1,false,"[{""CategoryID"":""HandHeld""},{""CategoryID"":""w/s/h/HandHeld""}]",,2,"""uixSvgIcon_weapon_Support""","""Wayland""","""Drill""","""Laser Drill""",true,5,"""Laser Drill""","""All""",0,0,,,false,40,0,3,1,0,3,0,"""Laser""","""WeaponEffect-Weapon_Laser_Large""","""LargeLaserPulse""","[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.97"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""Melee attacks deal 10 Heat damage."",""Icon"":""uixSvgIcon_run_n_gun"",""Id"":""StatusEffect-EliteDrill"",""Name"":""Solaris Laser Drill""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":-1,""stackLimit"":-1,""ticksOnActivations"":false,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":false},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Buff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""5"",""operation"":""Float_Add"",""statName"":""HeatDamagePerShot"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""Weapon"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""Melee"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null}]",,"{""Bonuses"":[""HandHeldMelee: 2"",""WpnAccuracy: +1"",""OHDamage: X3"",""VariableDmg: 2"",""MeleeHeat: 5"",""MultiLaser"",""NoAA""]}",,,0,0.5,1,,"{""SortKey"":""04001""}",,,,,,,,,,,,,,,,"""SpecialMelee""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""HandsUsed"":true,""Tonnage"":2}",{},,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",20,60000,"""Weapon_PowerArmor_MediumLaser""",0,0,3.3,1,"""Laser""","[90,180,270]",0.5,"""Medium Lasers are lightweight with respectable damage. Because of this, at least one can be found mounted on most units that cross the battlefield.""",false,0,"""All""",1,"""""","""""",,"[""component_type_stock"",""LaserIns.{location}"",""range_standard"",""paweapon""]","""""",1,false,"[{""CategoryID"":""w/e/l/laser""}]",,0,"""uixSvgIcon_weapon_Energy""","""Hellion""","""Medium Laser""","""M Laser""",true,0,"""BA Medium Laser""","""All""",0,0,,0.0625,false,330,0,0,1,0,1,0,"""Laser""","""WeaponEffect-Weapon_Laser_Medium""","""MediumLaser""",[],,"{""Bonuses"":[""BAWEAPON"",""IsLaser""]}",,,0.1,0.04,24,,"{""SortKey"":""02005""}",,,,,,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",13,30000,"""Weapon_PowerArmor_Laser""",0,0,0,1,"""Laser""","[60,110,150]",0.25,"""A Battle Armor Anti Armor Laser. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",0,"""""","""""",,"[""component_type_stock"",""LaserIns.{location}"",""paweapon"",""range_close""]","""""",1,false,"[{""CategoryID"":""w/s/m/pa""}]",,0,"""uixSvgIcon_weapon_Support""","""Martell""","""Small Laser""","""BA Laser""",true,20,"""BA Laser""","""All""",0,1,,0.025,false,200,0,0,1,0,1,0,"""Laser""","""WeaponEffect-Weapon_Laser_Small""","""SmallLaser""",[],,"{""Bonuses"":[""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1""]}",,,0.1,0.02,12,,"{""SortKey"":""04001""}",,,,,,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",13,30000,"""Weapon_PowerArmor_Laser_CLAN""",0,0,0,1,"""Laser""","[60,110,150]",0.2,"""A Battle Armor Anti Armor Laser. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",0,"""""","""""",,"[""component_type_stock"",""LaserIns.{location}"",""paweapon"",""range_close""]","""""",1,false,"[{""CategoryID"":""w/s/m/pa""}]",,0,"""uixSvgIcon_weapon_Support""","""Martell""","""Small Laser""","""BA Laser""",true,20,"""BA Laser (C)""","""All""",0,1,,0.025,false,200,0,0,1,0,1,0,"""Laser""","""WeaponEffect-Weapon_Laser_Small""","""SmallLaser""",[],,"{""Bonuses"":[""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1""]}",,,0.1,0.02,12,,"{""SortKey"":""04001""}",,,,,,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Flamer""",0,,"""Weapon""","""Weapon""",10,375000,"""Weapon_PowerArmor_KingDavid""",0,0,5,1,"""MachineGun""","[120,210,300]",0.33,"""A Battle Armor 'King David' Gauss Rifle, carrying 8 shots. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,0,"""All""",4,"""Damage Falloff|""","""1 Recoil""",,"[""component_type_stock"",""range_standard"",""paweapon""]","""""",1.5,false,"[{""CategoryID"":""w/s/m/pa""}]",,0,"""uixSvgIcon_weapon_Ballistic""","""David""","""Light Gauss Rifle""","""MagShot Rifle""",true,10,"""BA KD Gauss""","""All""",0,0,,,false,390,0,0,1,1,1,10,"""Gauss""","""WeaponEffect-Weapon_GaussRifle""","""Gauss""",[],,"{""Bonuses"":[""DmgFallOff: 70%"",""WpnCrits: +50%"",""AccuracyUnit: Battle Armor"",""AccuracyUnit2: +10"",""BAWEAPON""]}",,,0.75,0.675,135,,"{""SortKey"":""01414""}",,,,,true,,,,,,,,0.35,0.35,0.25,"""BattleArmor""",,,0.7,false,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MagShot""",0,,"""Weapon""","""Weapon""",20,375000,"""Weapon_PowerArmor_LightGauss""",0,0,8,1,"""MachineGun""","[240,420,840]",1,"""A Battle Armor 'Light' Gauss Rifle, carrying 8 shots. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,0,"""All""",4,"""Damage Falloff|""","""1 Recoil""",,"[""component_type_stock"",""range_standard"",""paweapon""]","""""",1.5,false,"[{""CategoryID"":""w/s/m/pa""}]",,0,"""uixSvgIcon_weapon_Ballistic""","""David""","""Light Gauss Rifle""","""MagShot Rifle""",true,10,"""Light Gauss""","""All""",0,0,,,false,930,180,0,1,1,1,10,"""Gauss""","""WeaponEffect-Weapon_GaussRifle""","""Gauss""",[],,"{""Bonuses"":[""DmgFallOff: 50%"",""ThroughArmorDamage: 10"",""WpnCrits: +50%"",""AccuracyUnit: Battle Armor"",""AccuracyUnit2: +10"",""BAWEAPON""]}",,,1.5,1.6,120,,"{""SortKey"":""01414""}",,,,,true,,,,,,,,0.35,0.35,0.25,"""BattleArmor""",,,0.7,false,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
"""Flamer""",0,,"""Weapon""","""Weapon""",7,375000,"""Weapon_PowerArmor_Magshot""",0,0,5,1,"""MachineGun""","[90,180,270]",0.25,"""A Battle Armor Gauss rifle, carrying 10 shots. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",4,"""Damage Falloff|""","""1 Recoil""",,"[""component_type_stock"",""range_standard"",""paweapon""]","""""",1,false,"[{""CategoryID"":""w/s/m/pa""}]",,0,"""uixSvgIcon_weapon_Ballistic""","""David""","""Light Gauss Rifle""","""MagShot Rifle""",true,10,"""BA Gauss""","""All""",0,1,,,false,330,0,0,1,1,1,10,"""Gauss""","""WeaponEffect-Weapon_GaussRifle""","""Gauss""",[],,"{""Bonuses"":[""DmgFallOff: 70%"",""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1"",""AccuracyUnit: Battle Armor"",""AccuracyUnit2: +10""]}",,,0.5,0.45,90,,"{""SortKey"":""01414""}",,,,,true,,,,,,,,0.35,0.35,0.25,"""BattleArmor""",,,0.7,false,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MagShot""",0,,"""Weapon""","""Weapon""",25,375000,"""Weapon_PowerArmor_Magshot_CLAN""",0,5,5,1,"""MachineGun""","[90,180,270]",0.2,"""A Battle Armor Gauss rifle, carrying 10 shots. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",4,"""Damage Falloff|""","""1 Recoil""",,"[""component_type_stock"",""paweapon"",""range_standard""]","""""",1,false,"[{""CategoryID"":""w/s/m/pa""}]",,0,"""uixSvgIcon_weapon_Ballistic""","""Johnston""","""Mag Shot AP Rifle""","""MagShot Rifle""",true,10,"""BA Gauss (C)""","""All""",0,1,,,false,330,0,0,1,1,1,10,"""Gauss""","""WeaponEffect-Weapon_GaussRifle""","""Gauss""",[],,"{""Bonuses"":[""DmgFallOff: 70%"",""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1""]}",,,0.5,0.45,90,,"{""SortKey"":""01414""}",,,,,true,,,,,,,,0.35,0.35,0.25,"""BattleArmor""",,,0.7,false,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",2,28000,"""Weapon_PowerArmor_HMG_CLAN""",0,0,0.2,1,"""MachineGun""","[60,90,120]",0.2,"""A Battle Armor Machine gun with enough ammo for any battle. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b> \n\n <b><color=#ffcc00>Requires no additional Ammo.</color></b> \n\n <b><color=#00ffff>Left Click on Chance to hit during battle to switch firing mode</color> </b>""",false,-1,"""All""",0,"""""","""""",,"[""component_type_stock"",""range_close"",""paweapon""]","""""",2,false,"[{""CategoryID"":""w/s/m/pa""}]",,1,"""uixSvgIcon_weapon_Ballistic""","""CLAN""","""Machine Gun""","""MG (C)""",true,10,"""BA MG (C)""","""All""",0,1,,,false,150,0,0,1,0,3,0,"""MachineGun""","""WeaponEffect-Weapon_MachineGun""","""MachineGun""",[],,"{""Bonuses"":[""BANOAMMO"",""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1""]}",,,0,2,100,,"{""SortKey"":""01502""}",,,,,true,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
